KEY_TO_RAW,HIGHER_GEOG,municipality
"6 miles west of Superior, Arizona, Pinal Co","North America, United States, Arizona, Pinal County",Superior
"6 miles west of Superior, Arizona, Pinal Co, 1800 ft","North America, United States, Arizona, Pinal County",Superior
6 miles W of Biloxi,"North America, United States, Mississippi, Harrison County",Biloxi
6 mi NE of Dundee,"North America, United States, Illinois, Cook County",East Dundee
"6mi N of Wickenburg, Yavapai Co., Arizona","North America, United States, Arizona, Yavapai County",Wickenburg
6 mi N Yarnell,"North America, United States, Arizona, Yavapai County",Yarnell
"7 miles east of Ocean Spring, MS","North America, United States, Mississippi, Jackson County",Ocean Springs
"7 miles N. of Michigan City, IN","North America, United States, Indiana, LaPorte County",Michigan City
7 miles SE of Tillamook,"North America, United States, Oregon, Tillamook County",Tillamook
"7 miles southeast, Tillamook Oreg.","North America, United States, Oregon, Tillamook County",Tillamook
"7 miles west of Superior, Pinal Co, Ariz., 1800 ft","North America, United States, Arizona, Pinal County",Superior
7mi West of Salt Lake City,"North America, United States, Utah, Salt Lake County",Salt Lake City
7mi W of Biloxi,"North America, United States, Mississippi, Harrison County",Biloxi
"87 E. Lake Street, Chicago, IL [Illinois]","North America, United States, Illinois, Cook County",Chicago
87th & Kedzie,"North America, United States, Illinois, Cook County",Chicago
"87th Street, Ill [Illinois] Cook Co., Chicago","North America, United States, Illinois, Cook County",Chicago
"8mi W of Kearney, Buffalo Co., Neb.","North America, United States, Nebraska, Buffalo County",Kearney
90mi inland from Barrow,"North America, United States, Alaska","North Slope Borough, Barrow"
90 miles inland,"North America, United States, Louisiana, Iberia Parish, Avery Island",Avery Island
"95th Street and Rt. 45, Ill [Illinois] Cook Co., Hickory Hills","North America, United States, Illinois, Cook County",Hickory Hills
"A. Mount Pleasant, S.C. [South Carolina]","North America, United States, South Carolina, Charleston County",Mount Pleasant
about 6 mi E of Ocean Springs,"North America, United States, Mississippi, Jackson County",Ocean Springs
"Acapulco, Mex","North America, Mexico, Guerrero",Acapulco
"Acapulco, Mexico","North America, Mexico, Guerrero",Acapulco
Acapulco Gro.,"North America, Mexico, Guerrero",Acapulco
"Accident, Garrett Co., Md.","North America, United States, Maryland, Garrett County",Accident
"Accident, Maryland","North America, United States, Maryland, Garrett County",Accident
"Acupulco, Guenero, Mexico","North America, Mexico, Guerrero",Acapulco
Adams Co Colo.,"North America, United States, Colorado, Adams County",
"Addison, DuPage Co., Illinois","North America, United States, Illinois, DuPage County",Addison
"Addison, Du Page Co., Illinois","North America, United States, Illinois, DuPage County",Addison
"Addison, IL","North America, United States, Illinois, DuPage County",Addison
"Addison, Ill","North America, United States, Illinois, DuPage County",Addison
"Addison, Ill [Illinois]","North America, United States, Illinois, DuPage County",Addison
"Addison, Illinois","North America, United States, Illinois, DuPage County",Addison
Africa,Africa,
"Agate, Colo.","North America, United States, Colorado, Elbert County",Agate
Agawa Bay,"North America, Canada, Ontario",
"Agneus, Calif.","North America, United States, California",
Ainsworth,"North America, United States, Illinois, Lake County",Ainsworth
"Aitken, Minn.","North America, United States, Minnesota, Aitkin County",Aitkin
"Alameda, Calif.","North America, United States, California, Alameda County",Alameda
"Alamitas Bay, Calif.","North America, United States, California, Orange County",
"Alamos, Mex, Snora Col.","North America, Mexico, Sonora",Alamos
"Alam Sonora, Mex.","North America, Mexico, Sonora",Alamos
"Alaska, Kodiak Island","North America, United States, Alaska, Kodiak Quad, Kodiak Island",
"Alaska, Wales at Coast","North America, United States, Alaska, Nome Quad",Wales
Alaska: Barrow,"North America, United States, Alaska","North Slope Borough, Barrow"
Alaska: Wales,"North America, United States, Alaska, Nome Quad",Wales
"Algonquin, McHenry Co., Ill [Illinois]","North America, United States, Illinois, McHenry County",Algonquin
"almost 1 mile west of mouth of Graveline Bayou, Ocean Springs, Jackson County, Miss.","North America, United States, Mississippi, Jackson County",Ocean Springs
"along Fox River, Antioch, Ill.","North America, United States, Illinois, Lake County",Antioch
"along Fox River, Antioch, Lake County, Ill.","North America, United States, Illinois, Lake County",Antioch
"Along Fox River, Antioch Ill.","North America, United States, Illinois, Lake County",Antioch
