Catalog Number,Collection Number,Accession Number,Number of Specimens,Collection,Phylum,Class,Order,Family,Name: Genus,Name: Species,Name: Subspecies,Name: Author,Identification,Locality,City,County,State,Country,Sex,Age,Received From,Received From (formatted),Collected By,Collected By (formatted),Date of Collection,Date of Collection (formatted),Remarks
22906,,2832,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,sialis,(Linnaeus),Chordata Aves Passeriformes Turdidae Sialia sialis sialis,"Fox Lake, Ills. [Illinois]",Fox Lake,Cook,Illinois,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,14-Sep-08,1908-09-14,
22907,,2496,1,Ornithology,Chordata,Aves,Passeriformes,Turdidae,Sialia,sialis,sialis,(Linnaeus),Chordata Aves Passeriformes Turdidae Sialia sialis sialis,"Millers, Ind.",Miller,Lake,Indiana,United States of America,female,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,25-Apr-07,1907-04-25,
22908,,2660,1,Ornithology,Chordata,Aves,Passeriformes,Corvidae,Cyanocitta,stelleri,diademata,(Bonaparte),Chordata Aves Passeriformes Corvidae Cyanocitta stelleri diademata,"Phoenix, Arizona",Phoenix,Maricopa,Arizona,United States of America,male,,Purchased,,F.M. Woodruff,Frank M. Woodruff,17 Apr 1891,1891-04-17,
22909,,2845,1,Ornithology,Chordata,Aves,-,-,Olbiorchilus,hiemalis,hiemalis,(Vieillot,Chordata Aves - - Olbiorchilus hiemalis hiemalis,"Millers, Indiana",Miller,Lake,Indiana,United States of America,male,,Academy collecting,Chicago Academy of Sciences,F.M. Woodruff,Frank M. Woodruff,30-Sep-08,1908-09-30,
22910,,2664,12,Malacology,Mollusca,Gastropoda,-,Valvatidae,Valvata,tricarinata,-,(Say),Mollusca Gastropoda - Valvatidae Valvata tricarinata -,Kegomic (= Bay View),,Emmet County,Michigan,United States of America,,,Field Museum of Natural History,Field Museum of Natural History,,,,,"Could not find info on ""Bay View"" [?]"
22911,,2660,1,Ornithology,Chordata,Aves,-,-,Catherpes,mexicanus,conspersus,(Ridgway),Chordata Aves - - Catherpes mexicanus conspersus,"Dos Cabezas, Arizona",Dos Cabezas,Cochise,Arizona,United States of America,female,,Purchased,,F.M. Woodruff,Frank M. Woodruff,4-Feb-04,1904-02-04,
22912,,2664,43,Malacology,Mollusca,Gastropoda,-,Hydrobiidae,Amnicola,cincinnatiensis,-,(Anthony),Mollusca Gastropoda - Hydrobiidae Amnicola cincinnatiensis -,Kegomic (= Bay View),,Emmet,Michigan,United States of America,,,Field Museum of Natural History,Field Museum of Natural History,,,,,"Could not find info on ""Bay View"" [?]"
22913,,2663,4,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Sphaerium,simile,-,Say,Mollusca Bivalvia - Sphaeriidae Sphaerium simile -,Kegomic (= Bay View),,Emmet,Michigan,United States of America,,,Field Museum of Natural History,Field Museum of Natural History,,,,,"Could not find info on ""Bay View"" [?]"
22914,,2663,10,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Corneocyclas,splendidulum,-,Sterki,Mollusca Bivalvia - Sphaeriidae Corneocyclas splendidulum -,Kegomic (= Bay View),,Emmet,Michigan,United States of America,,,Field Museum of Natural History,Field Museum of Natural History,,,,,"Could not find info on ""Bay View"" [?] Additional identification: Pisidium"
22915,,2663,43,Malacology,Mollusca,Bivalvia,-,Sphaeriidae,Corneocyclas,compressa,-,Prime,Mollusca Bivalvia - Sphaeriidae Corneocyclas compressa -,Kegomic (= Bay View),,Emmet,Michigan,United States of America,,,Field Museum of Natural History,Field Museum of Natural History,,,,,"Could not find info on ""Bay View"" [?] Additional identification: Pisidium"
