Aphodius piceus,Aphodius piceus
Aphodius pinguis,Aphodius pinguis
Aphodius rubeolus,Aphodius rubeolus
Aphodius rubidus,Aphodius rubidus
Aphodius rufenscens,Aphodius rufenscens
Aphodius rusicola,Aphodius rusicola
Aphodius scrutator,Aphodius scrutator
Aphodius serval,Aphodius serval
Aphodius sp.,Aphodius sp.
Aphodius vittatus,Aphodius vittatus
Aphodius walshii,Aphodius walshii
Aphonopelma sp.,Aphonopelma sp.
Aphonus pyriformis,Aphonus pyriformis
Aphonus tridentatus,Aphonus tridentatus
Aphorista vittata,Aphorista vittata
Aphrastus taeniata,Aphrastus taeniata
Aphrastus taeniatus,Aphrastus taeniatus
Aphrophora inflata,Aphrophora inflata
Aphrophora parallela,Aphrophora parallela
Aphrophora quadrangularis,Aphrophora quadrangularis
Aphrophora quadrinotata,Aphrophora quadrinotata
Aphthona coerulea,Aphthona coerulea
Aphthona picta,Aphthona picta
Aphthona sp.,Aphthona sp.
Aphthona texana,Aphthona texana
Aphthon sp.,Aphthon sp.
Aphtona hirits,Aphtona hirits
Aphtona lutescens,Aphtona lutescens
Apidae sp.,Apidae sp.
Apiomerus spissipes,Apiomerus spissipes
"Apion ""merminum?""",Apion merminum
Apion athiops,Apion athiops
Apion craceae,Apion craceae
Apion estriatum,Apion estriatum
Apion herculanum,Apion herculanum
Apion merminum,Apion merminum
Apion opacicolle,Apion opacicolle
Apion rostrum,Apion rostrum
Apion segnipes,Apion segnipes
Apion sorba,Apion sorba
Apion turbulenturn,Apion turbulenturn
Apion varipes,Apion varipes
Apion voiolaceum,Apion voiolaceum
Apion vorax,Apion vorax
Apis mellifera,Apis mellifera
Apocellus sphaericollis,Apocellus sphaericollis
Apoderus curcuriomides,Apoderus curcuriomides
Apollophanes texanus,Apollophanes texanus
Apristus laticollis,Apristus laticollis
Aracanthus pallidus,Aracanthus pallidus
Aradus rectus,Aradus rectus
Aradus similis,Aradus similis
Aradus sp.,Aradus sp.
Araeoschizus costipennis,Araeoschizus costipennis
Araneus cucurbitina,Araneus cucurbitina
Araneus cucurbitinus,Araneus cucurbitinus
Araneus displicata,Araneus displicata
Araneus frondasa,Araneus frondasa
Araneus geminatus,Larinioides geminata
Araneus marmoreus,Araneus marmoreus
Araneus nordmani,Araneus nordmani
Araneus nordmanni,Araneus nordmani
Araneus sericatus,Araneus sericatus
Araneus sp. Poss cornuta,Araneus cornuta
Araneus trifolium,Araneus trifolium
Araniella displicata,Araneus displicata
Archimerus calcarator,Piezogaster calcarator
"Archytas ""bualis?""",Archytas bualis
Archytas analis,Archytas analis
Archytas bualis,Archytas bualis
Arctosa littoralis,Arctosa littoralis
Arctosa sp.,Arctosa sp.
Ardistomis,Semiardistomis viridis
Argidae sp,Argidae sp.
Argiope aurantia Lucas,Argiope aurantia lucas
Argiope sp. Poss aurantia,Argiope aurantia
Argiope trifasciata,Argiope trifasciata
Argoporis bicolor,Argoporis bicolor
Argoporis bicolor LeConte,Argoporis bicolor
Argoporis costipennis,Argoporis costipennis
Argoporis costipennis LeConte,Argoporis costipennis
Argyra,Argyra sp.
Argyra sp.,Argyra sp.
Argyra sp.n.,Argyra sp.
Argyrodes trigonum,Argyrodes trigonum
Arhopalus sp.,Arhopalus sp.
Arhyssus lateralis,Arhyssus lateralis
Aromia moschata,Aromia moschata
Arotes amoenus,Arotes amoenus
Arotes sp,Arotes sp.
Arotes sp.,Arotes sp.
Arphia conspersa,Arphia conspersa
Arphia conspersa Scudder,Arphia conspersa
Arphia pseudonietana,Arphia pseudonietana
Arphia pseudonietana (Thomas),Arphia pseudonietana
Arphia sp.,Arphia sp.
Arphia sulphurea,Arphia sulphurea
Arphia sulphurea (Fabricius),Arphia sulphurea
