TAXON (to match to authority),ACCEPTED TAXON,ACCEPTED AUTHOR,SOURCE,Class,Order,Family,Subfamily
Philodromus alascensis,Rhysodromus alascensis,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Philodromus aureolus,Philodromus aureolus,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Philodromus auroleus,Philodromus aureolus,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Philodromus pernix,Philodromus pernix,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Philodromus rufus pacificus,Philodromus rufus pacificus,,World Spider Catalog,Arachnida,Araneae,Philodromidae,
Pholcus phalangioides,Pholcus phalangioides,,World Spider Catalog,Arachnida,Araneae,Pholcidae,Pholcinae
Physocyclus ,Physocyclus sp.,,World Spider Catalog,Arachnida,Araneae,Pholcidae,Holocneminae
Physocyclus globosus,Physocyclus globosus,,World Spider Catalog,Arachnida,Araneae,Pholcidae,Holocneminae
Physocyclus sp.,Physocyclus sp.,,World Spider Catalog,Arachnida,Araneae,Pholcidae,Holocneminae
Pirata ,Pirata sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata febriculosa,Pirata piraticus,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata insulaio,Piratula insularis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata insularis,Pirata insularis,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata marxi,Trebacosa marxi,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata piraticus,Pirata piraticus,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pirata sp.,Pirata sp.,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Pisauridae sp.,Pisauridae sp.,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Pisaurina brevipes,Pisaurina brevipes,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Pisaurina mira,Pisaurina mira,,World Spider Catalog,Arachnida,Araneae,Pisauridae,
Pityohyphantes phrygianus,Pityohyphantes phrygianus,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Pityophhantes phrygianus,Pityohyphantes phrygianus,,World Spider Catalog,Arachnida,Araneae,Linyphiidae,Linyphiinae
Plectreuridae sp.,Plectreuridae sp.,,World Spider Catalog,Arachnida,Araneae,Plectreuridae,
Plectreurys sp.,Plectreurys sp.,,World Spider Catalog,Arachnida,Araneae,Plectreuridae,
Plectreurys tristis,Plectreurys tristis,,World Spider Catalog,Arachnida,Araneae,Plectreuridae,
Psilochorus rockefelleri,Psilochorus rockefelleri,,World Spider Catalog,Arachnida,Araneae,Pholcidae,
Psilochorus rokefelleri,Psilochorus rockefelleri,,World Spider Catalog,Arachnida,Araneae,Pholcidae,
Psilochorus sp.,Psilochorus sp.,,World Spider Catalog,Arachnida,Araneae,Pholcidae,
Psilochorus utahensis,Psilochorus utahensis,,World Spider Catalog,Arachnida,Araneae,Pholcidae,
Robertus riparius,Robertus riparius,,World Spider Catalog,Arachnida,Araneae,Theridiidae,
Salticidae sp.,Salticidae sp.,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Salticus scenicus,Salticus scenicus,,World Spider Catalog,Arachnida,Araneae,Salticidae,
Schizocosa aride,Schizocosa avida,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Schizocosa avida,Schizocosa avida,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Schizocosa crassipes,Schizocosa crassipes,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
Schizocosa saltatrix,Schizocosa saltatrix,,World Spider Catalog,Arachnida,Araneae,Lycosidae,
